game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
9022,-1,1,O,X,1.1900666,0
9023,-1,1,X,O,0.004348919,0
9024,1,-1,O,X,1.3116819,0
9025,1,-1,X,O,0.021188524,0
9026,-1,1,O,X,0.0004233079,0
9027,1,-1,X,O,2.415885e-07,0
9028,-1,1,O,X,0.04162158,0
9029,-1,1,X,O,0.070668384,0
9030,-1,1,O,X,0.06854341,0
9031,1,-1,X,O,0.004051162,0
9032,1,-1,O,X,0.00011988229,0
9033,1,-1,X,O,0.00011792083,0
9034,-1,1,O,X,0.373412,0
9035,-1,1,X,O,0.006025348,0
9036,-1,1,O,X,0.017363025,0
9037,-1,1,X,O,1.3207355,0
9038,-1,1,O,X,1.7939507e-05,0
9039,-1,1,X,O,0.08181297,0
9040,-1,1,O,X,0.35316506,0
9041,1,-1,X,O,0.0011401961,0
9042,-1,1,O,X,0.51584053,0
9043,1,-1,X,O,0.013155324,0
9044,-1,1,O,X,0.99420714,0
9045,-1,1,X,O,0.00023201246,0
9046,-1,1,O,X,0.11793679,0
9047,1,-1,X,O,0.45881045,0
9048,-1,1,O,X,0.15096933,0
9049,-1,1,X,O,0.0009013433,0
9050,0,0,O,X,0.07367081,0
9051,0,0,X,O,0.020932686,0
9052,-1,1,O,X,0.19926953,0
9053,0,0,X,O,0.12715389,0
9054,1,-1,O,X,0.010689617,0
9055,-1,1,X,O,0.00012850456,0
9056,1,-1,O,X,0.15711011,0
9057,0,0,X,O,0.0014300823,0
9058,-1,1,O,X,0.38900355,0
9059,1,-1,X,O,0.3275984,0
9060,1,-1,O,X,0.03689131,0
9061,1,-1,X,O,0.9969096,0
9062,-1,1,O,X,0.00042692813,0
9063,1,-1,X,O,0.09938543,0
9064,1,-1,O,X,0.012080042,0
9065,1,-1,X,O,0.013494634,0
9066,-1,1,O,X,0.4576194,0
9067,-1,1,X,O,0.08907105,0
9068,-1,1,O,X,0.9114708,0
9069,1,-1,X,O,1.2634554,0
9070,-1,1,O,X,0.000920045,0
9071,1,-1,X,O,0.14756505,0
9072,-1,1,O,X,0.088637516,0
9073,1,-1,X,O,0.01660734,0
9074,-1,1,O,X,0.0066591185,0
9075,-1,1,X,O,0.9189706,0
9076,1,-1,O,X,1.2771983,0
9077,-1,1,X,O,0.1330377,0
9078,-1,1,O,X,0.65026975,0
9079,1,-1,X,O,0.17962642,0
9080,1,-1,O,X,0.0780334,0
9081,1,-1,X,O,0.12395188,0
9082,1,-1,O,X,0.11952784,0
9083,-1,1,X,O,0.0338079,0
9084,1,-1,O,X,0.10180791,0
9085,-1,1,X,O,0.01910824,0
9086,1,-1,O,X,0.012737568,0
9087,1,-1,X,O,0.021412894,0
9088,1,-1,O,X,0.08281342,0
9089,1,-1,X,O,0.0018215973,0
9090,-1,1,O,X,0.6923113,0
9091,-1,1,X,O,0.14301415,0
9092,1,-1,O,X,0.021910042,0
9093,-1,1,X,O,0.075780235,0
9094,-1,1,O,X,0.008670111,0
9095,1,-1,X,O,0.0029596754,0
9096,-1,1,O,X,0.18354487,0
9097,-1,1,X,O,0.00015472583,0
9098,-1,1,O,X,0.006504901,0
9099,-1,1,X,O,0.017402157,0
9100,1,-1,O,X,9.3251583e-07,0
9101,-1,1,X,O,0.021533502,0
9102,1,-1,O,X,0.034678873,0
9103,-1,1,X,O,0.03110286,0
9104,1,-1,O,X,5.254174e-06,0
9105,1,-1,X,O,0.05659005,0
9106,-1,1,O,X,0.084880866,0
9107,1,-1,X,O,0.055620756,0
9108,1,-1,O,X,0.1647403,0
9109,1,-1,X,O,0.01762148,0
9110,1,-1,O,X,0.00022958446,0
9111,1,-1,X,O,0.009466627,0
9112,-1,1,O,X,0.13728315,0
9113,1,-1,X,O,0.009924266,0
9114,-1,1,O,X,0.08329898,0
9115,1,-1,X,O,0.0062361215,0
9116,1,-1,O,X,0.06041565,0
9117,-1,1,X,O,0.004683075,0
9118,1,-1,O,X,0.0074857064,0
9119,-1,1,X,O,1.0675492,0
9120,1,-1,O,X,0.00067585375,0
9121,0,0,X,O,0.00056843134,0
9122,-1,1,O,X,0.30561647,0
9123,1,-1,X,O,0.0115103545,0
9124,-1,1,O,X,0.1886499,0
9125,1,-1,X,O,7.778193e-06,0
9126,-1,1,O,X,0.44905508,0
9127,1,-1,X,O,0.20094365,0
9128,-1,1,O,X,0.13421048,0
9129,-1,1,X,O,0.000320462,0
9130,-1,1,O,X,0.0012793866,0
9131,1,-1,X,O,0.104787484,0
9132,-1,1,O,X,0.15030436,0
9133,1,-1,X,O,0.0016589087,0
9134,-1,1,O,X,0.025234647,0
9135,1,-1,X,O,0.027615277,0
9136,-1,1,O,X,0.118055016,0
9137,1,-1,X,O,0.0010993258,0
9138,1,-1,O,X,0.009481838,0
9139,1,-1,X,O,0.044983823,0
9140,-1,1,O,X,0.5099708,0
9141,1,-1,X,O,0.006637207,0
9142,1,-1,O,X,0.012107843,0
9143,-1,1,X,O,0.06138748,0
9144,-1,1,O,X,0.0022990212,0
9145,-1,1,X,O,0.023825295,0
9146,-1,1,O,X,1.3521773e-06,0
9147,1,-1,X,O,0.015751688,0
9148,-1,1,O,X,0.00073874765,0
9149,1,-1,X,O,0.00021749182,0
