game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
16597,1,-1,X,O,0.06338261067867279,0
16598,0,0,O,X,0.10021413117647171,0
16599,1,-1,X,O,0.0841769129037857,0
16600,1,-1,O,X,0.10384038090705872,0
16601,-1,1,X,O,0.10412053018808365,0
16602,1,-1,O,X,0.09001345932483673,0
16603,1,-1,X,O,0.09485065937042236,0
16604,-1,1,O,X,0.11683008819818497,0
16605,1,-1,X,O,0.06754029542207718,0
16606,1,-1,O,X,0.0719856545329094,0
16607,-1,1,X,O,0.0834246277809143,0
16608,-1,1,O,X,0.06346654146909714,0
16609,-1,1,X,O,0.11557464301586151,0
16610,1,-1,O,X,0.052441030740737915,0
16611,-1,1,X,O,0.06711827218532562,0
16612,-1,1,O,X,0.09458576887845993,0
16613,1,-1,X,O,0.06605096161365509,0
16614,1,-1,O,X,0.08341336995363235,0
16615,1,-1,X,O,0.11784130334854126,0
16616,-1,1,O,X,0.10522755235433578,0
16617,1,-1,X,O,0.07863297313451767,0
16618,-1,1,O,X,0.061297737061977386,0
16619,-1,1,X,O,0.0950668677687645,0
16620,1,-1,O,X,0.09711423516273499,0
16621,1,-1,X,O,0.0848759189248085,0
16622,1,-1,O,X,0.06115465238690376,0
16623,1,-1,X,O,0.10239595919847488,0
16624,-1,1,O,X,0.08057808876037598,0
16625,0,0,X,O,0.06276223063468933,0
16626,-1,1,O,X,0.07617861032485962,0
16627,1,-1,X,O,0.10899514704942703,0
16628,1,-1,O,X,0.07690583169460297,0
16629,-1,1,X,O,0.12449683248996735,0
16630,-1,1,O,X,0.07699413597583771,0
16631,1,-1,X,O,0.0947713702917099,0
16632,1,-1,O,X,0.0688568577170372,0
16633,1,-1,X,O,0.06292588263750076,0
16634,1,-1,O,X,0.07305984199047089,0
16635,1,-1,X,O,0.07219915837049484,0
16636,-1,1,O,X,0.09084303677082062,0
16637,1,-1,X,O,0.059378232806921005,0
16638,-1,1,O,X,0.11578862369060516,0
