,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
19748,19749,-1,1,X,O,0.10858555883169174,0.09458476305007935,-0.624,0.864,0.4
19998,19999,0,0,X,O,0.0951881930232048,0.08269385993480682,-0.25,0.878,0.4
248,249,-1,1,X,O,0.043051332235336304,0.06948664784431458,-1.0,0.27,0.5
498,499,-1,1,X,O,0.09083905816078186,0.09434681385755539,-0.888,0.548,0.5
748,749,1,-1,X,O,0.08814142644405365,0.10963974893093109,-0.5,0.714,0.5
998,999,-1,1,X,O,0.10050424188375473,0.0829722136259079,-1.0,0.658,0.5
1248,1249,1,-1,X,O,0.08385070413351059,0.08940699696540833,-0.5,0.752,0.5
1498,1499,-1,1,X,O,0.11639168858528137,0.08524386584758759,-1.0,0.776,0.5
1748,1749,1,-1,X,O,0.08503293991088867,0.11613736301660538,-1.0,0.802,0.5
1998,1999,-1,1,X,O,0.11022715270519257,0.08122272789478302,-1.0,0.802,0.5
2248,2249,1,-1,X,O,0.10992082953453064,0.09981322288513184,-0.916,0.876,0.5
2498,2499,-1,1,X,O,0.07877501845359802,0.13788290321826935,-0.788,0.846,0.5
2748,2749,1,-1,X,O,0.11527454853057861,0.07749961316585541,-0.464,0.884,0.5
2998,2999,1,-1,X,O,0.12619228661060333,0.06249517947435379,-0.408,0.858,0.5
3248,3249,0,0,X,O,0.09132564067840576,0.09655952453613281,-0.788,0.88,0.5
3498,3499,1,-1,X,O,0.0649740993976593,0.07068517804145813,-0.798,0.894,0.5
3748,3749,1,-1,X,O,0.1161673367023468,0.08279635012149811,-0.696,0.828,0.5
3998,3999,-1,1,X,O,0.05120832845568657,0.06968896090984344,-0.706,0.914,0.5
4248,4249,0,0,X,O,0.11829721927642822,0.12890857458114624,-1.0,0.9,0.5
4498,4499,1,-1,X,O,0.09265360981225967,0.08290162682533264,-0.806,0.894,0.5
4748,4749,-1,1,X,O,0.11152882128953934,0.09694228321313858,-0.188,0.9,0.5
4998,4999,-1,1,X,O,0.09310737252235413,0.06337553262710571,-0.296,0.834,0.5
5248,5249,1,-1,X,O,0.07515080273151398,0.054586075246334076,-1.0,0.864,0.5
